Футбол. Россия. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;18:00:00;Локомотив М;Крылья Советов;1.42;4.5;7.8
2020-06-30;20:30:00;ЦСКА;Спартак М;3.15;3.3;2.3
2020-07-01;15:00:00;Уфа;Рубин Казань;2.85;2.85;2.85
2020-07-01;17:30:00;Арсенал Тула;Ахмат;2.55;3.2;2.85
2020-07-01;17:30:00;Тамбов;Зенит С-Петербург;10.0;6.1;1.27
2020-07-01;20:00:00;Ростов;Краснодар;3.5;3.4;2.1
2020-07-01;20:00:00;Сочи;Динамо М;2.5;3.2;2.95
Футбол. Англия. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;22:15:00;Брайтон;Манчестер Юн;5.3;3.75;1.67
2020-07-01;20:00:00;Арсенал;Норвич С;1.43;4.7;7.1
2020-07-01;20:00:00;Борнмут;Ньюкасл Юн;2.35;3.15;3.25
2020-07-01;20:00:00;Эвертон;Лестер С;2.6;3.3;2.75
2020-07-01;22:15:00;Вест Хэм Юн;Челси;5.3;4.2;1.6
2020-07-02;20:00:00;Шеффилд Юн;Тоттенхэм;4.0;3.3;2.0
2020-07-02;22:15:00;Манчестер С;Ливерпуль;2.1;3.7;3.25
Футбол. Англия. Кубок. Лондон. 1/2 финала
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-18;21:45:00;Арсенал;Манчестер С;9.5;5.7;1.3
2020-07-18;21:45:00;Манчестер Юн;Челси;2.6;3.35;2.7
Футбол. Германия. Бундеслига. Плей-аут. Первый матч
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-02;21:30:00;Вердер;Хайденхайм;1.5;4.4;6.25
Футбол. Германия. Кубок. Берлин. Финал
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-04;21:00:00;Байер Леверкузен;Бавария;8.25;5.55;1.33
Футбол. Испания. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;20:30:00;Леганес;Севилья;4.0;3.15;2.1
2020-06-30;20:30:00;Мальорка;Сельта;3.3;3.1;2.35
2020-06-30;23:00:00;Барселона;Атлетико Мадрид;1.85;3.55;4.4
2020-07-01;20:30:00;Алавес;Гранада;2.6;3.0;3.0
2020-07-01;20:30:00;Валенсия;Атлетик Бильбао;2.45;3.05;3.2
2020-07-01;23:00:00;Бетис;Вильярреал;2.8;3.45;2.5
2020-07-01;23:00:00;Вальядолид;Леванте;2.45;3.2;3.05
2020-07-02;20:30:00;Эйбар;Осасуна;2.5;3.2;2.95
2020-07-02;20:30:00;Реал Сосьедад;Эспаньол;1.9;3.45;4.35
2020-07-02;23:00:00;Реал Мадрид;Хетафе;1.35;5.0;9.0
Футбол. Италия. Серия А
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;20:30:00;Торино;Лацио;4.4;3.75;1.8
2020-06-30;22:45:00;Дженоа;Ювентус;7.7;4.5;1.42
2020-07-01;20:30:00;Болонья;Кальяри;2.15;3.4;3.4
2020-07-01;20:30:00;Интер Милан;Брешиа;1.15;7.5;20.0
2020-07-01;22:45:00;Фиорентина;Сассуоло;2.05;3.6;3.5
2020-07-01;22:45:00;Лечче;Сампдория;3.25;3.5;2.2
2020-07-01;22:45:00;СПАЛ Феррара;Милан;5.5;3.9;1.62
2020-07-01;22:45:00;Верона;Парма;1.9;3.4;4.3
2020-07-02;20:30:00;Аталанта;Наполи;2.0;3.6;3.6
2020-07-02;22:45:00;Рома;Удинезе;1.5;4.2;6.6
Футбол. Португалия. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;19:00:00;Фамаликан;Портимоненше;2.0;3.55;3.7
2020-06-30;21:15:00;Витория Гимарайнш;Сетубал;1.45;4.3;7.5
2020-06-30;23:30:00;Риу-Аве;Брага;3.85;3.4;2.0
2020-07-01;21:00:00;Белененсеш;Тондела;2.65;3.15;2.75
2020-07-01;23:15:00;Спортинг Лиссабон;Жил Висенте;1.48;4.2;7.1
Футбол. Австрия. Бундеслига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;21:30:00;Адмира;Ст. Пельтен;2.45;3.45;2.8
2020-06-30;21:30:00;Альтах;Аустрия Вена;2.6;3.5;2.6
2020-06-30;21:30:00;Маттерсбург;Ваттенс;2.45;3.5;2.8
2020-07-01;21:30:00;Рапид Вена;ЛАСК Линц;3.25;3.75;2.1
2020-07-01;21:30:00;Зальцбург;Штурм Грац;1.1;10.0;20.5
2020-07-01;21:30:00;Хартберг;Вольфсберг;4.9;4.5;1.6
Футбол. Греция. Суперлига 1. Плей-офф
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;19:15:00;Панатинаикос;Арис Салоники;1.75;3.65;4.7
2020-07-01;21:00:00;ПАОК;АЕК Афины;2.15;3.4;3.4
2020-07-01;21:30:00;Олимпиакос Пирей;ОФИ;1.22;6.0;15.0
Футбол. Греция. Кубок. Афины. Финал
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-26;19:00:00;АЕК Афины;Олимпиакос Пирей;3.75;3.4;2.05
Футбол. Дания. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-03;20:00:00;Эсбьерг;Хорсенс;2.4;3.5;2.85
2020-07-04;15:30:00;Силькеборг;Люнгбю;3.35;3.55;2.1
2020-07-04;19:00:00;Сендерийске;Оденсе;2.35;3.5;2.9
2020-07-05;15:00:00;Нордсьелленд;Мидтьюланд;3.8;3.75;1.9
2020-07-05;17:00:00;Хобро;Рандерс;3.85;3.75;1.9
2020-07-05;19:00:00;Ольборг;Брондбю;3.2;3.6;2.15
2020-07-05;21:00:00;Орхус;Копенгаген ФК;2.65;3.5;2.55
Футбол. Дания. Кубок. Копенгаген. Финал
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;21:00:00;Ольборг;Сендерийске;1.9;3.6;4.0
Футбол. Польша. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-03;19:00:00;Лодзь;Висла Краков;3.7;3.7;1.95
2020-07-03;21:30:00;Корона Кельце;Арка Гдыня;2.2;3.35;3.35
2020-07-04;16:00:00;Ракув Ченстохова;Заглембе Любин;2.15;3.7;3.1
2020-07-04;18:30:00;Лех Познань;Легия Варшава;3.0;3.4;2.35
2020-07-04;21:00:00;Лехия Гданьск;Краковия Краков;2.35;3.5;2.9
2020-07-05;16:00:00;Погонь Щецин;Ягеллония Белосток;2.9;3.3;2.45
2020-07-05;18:30:00;Пяст Гливице;Шленск Вроцлав;1.95;3.5;3.85
2020-07-06;19:00:00;Висла Плоцк;Гурник Забже;3.15;3.35;2.3
Футбол. Польша. Кубок. 1/2 финала
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-08;19:00:00;Краковия Краков;Легия Варшава;3.55;3.35;2.1
2020-07-08;19:00:00;Лех Познань;Лехия Гданьск;1.85;3.6;4.2
Футбол. Турция. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-03;21:00:00;Денизлиспор;Газиантеп ББ;2.55;3.3;2.8
2020-07-04;18:30:00;Анкарагюджю;Аланьяспор;4.2;3.75;1.85
2020-07-04;18:30:00;Ени Малатьяспор;Генчлербирлиги;2.25;3.5;3.05
2020-07-04;21:00:00;Антальяспор;Истанбул Башакшехир;4.4;3.85;1.77
2020-07-04;21:00:00;Фенербахче;Гезтепе;1.65;4.0;5.0
2020-07-05;18:30:00;Касымпаша;Сивасспор;2.7;3.8;2.4
2020-07-05;21:00:00;Галатасарай;Трабзонспор;2.25;3.5;3.1
2020-07-05;21:00:00;Коньяспор;Ризеспор;2.1;3.3;3.6
2020-07-06;21:00:00;Кайсериспор;Бешикташ;4.1;3.8;1.83
Футбол. Чехия. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-04;18:00:00;Злин;Карвина;2.4;3.25;3.0
2020-07-04;18:00:00;Пршибрам;Теплице;1.9;3.6;3.9
2020-07-04;18:00:00;Опава;Сигма Оломоуц;1.9;3.4;4.2
2020-07-05;18:00:00;Баник Острава;Виктория Пльзень;3.7;3.5;2.0
