,Player 1,Player 2
0,Хетафе,Реал Сосьедад
1,Хетаф-Реал С. Мата Хайме,Ойарсабаль М
2,Пасуш-Феррейра,Порту
3,КФГ Гардабаер,Аегир
4,Бразилия (TAKA),Нидерланды (GenaD)
5,Англия (mooneycb),Франция (BlackStar98)
6,Тоттенхэм (MelToSiK),Ман. Юнайтед (Upcake22)
7,Ман. Сити (Kray),Ливерпуль (KRaftVK)
8,Шахтер Д (Harry),Байер Л (Dansel)
9,Хоффенхайм (Spacerman),Вольфсбург (Fric)
10,Байер Л (Specialist),Боруссия М (Oolancer)
11,Бавария (Skripp),РБ Лейпциг (Indra13_27)
12,Вердер (Stdm),Кельн (Member)
13,Португалия (Gernaut),Англия (Iamdevilwalk)
14,Золотые Драконы,Снежные Медведи
15,Черные Грифоны,Реактивные Бизоны
16,Анахайм (Procha-sukromka5),Сент-Луис Блюз (shuval13DGL)
17,Денвер Наггетс (broccolicabbage0),ЛА Клипперс (Kutnyuk_sasha)
18,Нью-Йорк Никс (nikitos349),Бруклин Нетс (amuralex)
19,Nemiga Gaming,Endpoint
20,Quincy Crew,4 Zoomers
