,Player 1,Player 2
0,Crystal Palace,Burnley
0,Genclerbirligi,Kasimpasa
0,Ascoli Calcio 1898,Crotone
0,Benevento Calcio,Juve Stabia
0,Cosenza Calcio,Trapani Calcio
0,ChievoVerona,Frosinone Calcio
0,Livorno Calcio,Unione Venezia
0,Delfino Pescara 1936,Empoli
0,Pordenone Calcio,Virtus Entella
0,Spezia Calcio,Pisa 1909
0,Cittadella,Perugia Calcio
0,AD Alcorcon,Rayo Vallecano
0,Exeter City,Northampton Town
0,Maccabi Ahi Nazareth,Hapoel Ashkelon
0,Hapoel Katamon Jerusalem,Bnei Sakhnin
0,Hapoel Petah Tikva,Hapoel Afula
0,Hapoel Rishon LeZion,Beitar Tel Aviv Ramla
0,Hapoel Nazareth Illit,Hapoel Ironi Acre
0,Hapoel Nir Ramat HaSharon,Kafr Qasim
0,Ryan Shane,Junior Alexander Ore
0,Arda Kardzhali,Botev Plovdiv
0,Severstal Team,Dinamo Team
0,Juventus+,Real+
0,Artem Kshenin,Alexander Vasilyuk
0,First Flyers,City Devils
0,Strazhy Galaktiki,Peresmeshniki
0,Ural Academy,Ural Riders
0,Argentina (3х3),USSR (3x3)
0,Andrey Dlugokanskiy,Vladimir Lodigin
0,Leonid Pankov,Dmitry Polyakov
0,Sparta (Amateur),Emmen (Amateur)
0,Drakony,Yastreby
0,Georgia (3х3),Ukraine (3х3)
0,Maksim Stryukov,Alexey Kremnev
0,Pavel Nechaev,Kirill Kim
0,England (Amateur) Women,Brazil (Amateur) Women
0,Ilya Neyalov,Dmitry Orlov
